Gene	A1	A2	A3	B1	B2	B3	C1	C2	C3
Fam179a	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	4.18504304369312	5.05667959143116	5.78333604547134	7.27580464110635	5.28500947887237
Fchsd1	3.47397560394841	2.75876124090421	2.34475898595385	1.92241328241714	2.41988048181545	3.25364803450886	5.2613837003348	6.01473833829503	4.30808167756003
Fgf15	-4.32376448301787	-4.4875346150548	-4.83974850410395	2.21996219755801	5.80525694843992	6.83882036390816	-3.69349500057659	6.27047212197398	5.2815199488165
Fgf3	-4.32376448301787	-4.4875346150548	-4.83974850410395	5.59195979145917	6.80691674831845	7.49850825181923	5.17135237599674	7.958317970354	1.9523517725285
Gal3st1	-0.201487756267688	-2.70234221812999	-2.55637133500266	1.3060648631818	-4.3444218719464	-2.61590745126957	-3.69349500057659	0.655339367709991	-3.30086346308622
Gimap3	-4.32376448301787	-4.4875346150548	-4.28928224739429	-4.2609203523674	-4.3444218719464	5.62203842465133	5.33207409595831	5.52425536857395	6.42664226265016
Grhpr	2.36960550401058	4.02037300509779	4.46793584765861	3.64030999561063	3.46174457549965	4.81481628686608	4.29599536122322	0.655339367709991	4.11598054794862
Gtpbp10	3.96668346772017	2.0799586117356	4.33603364608463	2.11243537379414	5.50552557775645	4.96395715273226	4.3173600940467	0.655339367709991	3.47793656948702
Hdac6	6.45389395166116	5.66939557805255	5.80196294065015	6.41801629764071	5.77816190222995	4.51131649991877	5.95551106125538	0.655339367709991	6.38699229083261
Hnrnpul2	4.54679264996398	4.92090183387933	5.04361770921816	4.72367433383151	3.64030999561063	3.17389473952997	1.24611329364993	4.96909491244736	5.37615067696359
Icos	3.31395757150126	1.55457284184538	0.661488047218664	-4.2609203523674	-4.3444218719464	-2.61590745126957	9.13710880537559	8.33878988285692	8.7735973421385
Ikzf3	-4.32376448301787	-4.4875346150548	-3.74389990881964	-4.2609203523674	1.83160394979247	6.19279626396132	10.1462321119778	9.607054795039	10.390803675509
Il1rl1	-4.32376448301787	2.39615430298299	-1.83960674441673	-4.2609203523674	-4.3444218719464	-2.61590745126957	8.08093390977548	7.90396569765206	7.94783875440172
Il2ra	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	-4.3444218719464	-2.61590745126957	7.15523302413976	7.93980470947677	7.85777336306311
Il2rb	2.30769517703151	-4.4875346150548	-1.75481714423102	6.84046844173543	8.58208817264616	9.06081164783577	8.45533022158716	9.58624441677218	8.22379497179092
Inpp4a	2.01348272275025	-2.54403452251502	-4.35171323490631	-1.92313767343457	1.50283927718832	0.804468312385986	0.630053897251032	4.10059502731577	3.91467110869114
Klhl7	5.04674712427661	5.52141915635578	5.19184291169927	3.52615051629502	5.07270890390134	6.53933853818009	5.70736279440123	4.3586069237225	4.78149306517484
Klrb1b	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	-4.3444218719464	4.27763494282732	7.20290337935791	5.77874402789661	7.17526884368549
Lef1	-4.32376448301787	-4.4875346150548	-4.27926026861967	-1.83960674441673	3.22146065811054	6.41118646307247	7.27768530407238	6.20835511647138	7.74883448715607
Lrrc52	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	0.992986858788403	4.83292433648172	6.80106904123902	6.24496069853111	4.97407573714218
Map3k2	5.27708818159546	4.80238397233965	3.633524954429	5.13597821088394	2.72093636519876	1.89109280152264	4.59914388158339	6.95613747278971	1.89283520399289
Megf10	-4.32376448301787	-4.4875346150548	-4.83974850410395	6.35228710285369	5.30885419492262	5.59485029332659	4.90311684876843	4.5745744362715	-3.30086346308622
Myo1e	-4.32376448301787	1.2060519506551	-4.83974850410395	-4.2609203523674	4.12948359607558	-2.61590745126957	7.61370075287973	6.90372455067943	6.33446314193991
Ncr1	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	-4.3444218719464	4.35585805290182	6.30034325340814	5.33403085797414	7.04485708454204
Nmur1	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	-4.3444218719464	2.83605507137423	7.65670896585884	7.67493138763091	7.47127861593048
Nt5e	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	2.1922656791761	-2.61590745126957	6.90573236292292	6.08536889481405	6.21029830762536
Orc4	5.78840647298098	5.70046942486379	5.71784359916579	7.2118179742311	6.27375754968372	7.15789844885325	6.71154551444435	4.75333261722875	6.64824040022559
P2rx7	5.8496733226011	4.17084231793163	3.91504739916866	6.59996652055697	6.6258220243624	7.79359114141959	5.29411960600275	6.14122952484305	7.26536067147436
Paqr5	7.09491197312042	6.41318540693549	6.11920159538211	-4.2609203523674	-4.3444218719464	-2.61590745126957	-3.69349500057659	2.80906387843583	-3.30086346308622
Pcsk1	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	-4.3444218719464	-2.61590745126957	6.71670379665716	6.31985016656193	4.92594986689555
Ppa2	6.08698331793281	6.11920159538211	6.42588969238044	5.83389204606266	6.23207660991126	5.36792896597663	6.25875233982375	6.69354093578947	4.89500578321958
Pum2	5.80998330609782	5.9374158630954	4.87524199992958	5.13859856312026	5.33454908894319	3.52920912248563	4.74472662083125	6.00417249350104	5.47408425740502
Rasgrp1	-4.32376448301787	-2.54403452251502	-4.45536721314425	-4.2609203523674	4.21727790099125	5.4960375921068	8.98922571893332	7.59114073668767	9.38882884344553
Rorc	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	3.7528875282621	5.01247030719774	8.09634965931041	6.71471999304712	8.36251816199218
Rxrg	-4.32376448301787	-4.4875346150548	-4.83974850410395	3.86965524544724	5.2857839991235	7.22968626571355	7.94783875440172	8.48718452211794	8.44877118658801
Sapcd2	4.66888525622632	5.12302912947296	5.10717905880792	1.34252011549326	2.84917282724394	2.39312327895696	5.99010368389714	4.82301277866054	3.7954662428454
Sgk3	7.38560216358397	7.83319541633463	7.74906150012379	8.47796423680793	8.15798960266811	8.17055472107879	8.12901324851217	7.29341309216431	7.73125813140705
Skap1	-0.317915774350485	-4.4875346150548	-4.66364155957937	-4.2609203523674	-4.3444218719464	2.48706860758054	8.39360320621783	7.18050082113028	8.72318303599171
Slc29a1	7.57940039314604	7.83484546307761	7.97567120606985	7.18318522460016	6.97464015010812	6.17918052060227	6.87761030861457	4.93819452386995	5.82506003429264
Snrnp25	5.36988283677793	5.54887100373322	5.67172356978415	5.77395833287146	5.49514118063896	5.56098933537502	5.32698587650053	6.01931453492522	3.71204057138153
Spns2	6.13401896911463	6.21014468857793	6.90001449070634	7.32537023200833	6.9237945435078	5.94663039235152	2.28098675635955	2.80906387843583	-3.30086346308622
Spon2	-4.32376448301787	-4.4875346150548	-4.31142767053023	3.91370978307888	6.52392419884936	6.39869504495092	6.88901312719248	8.75385986151075	7.55536580395564
Srgap1	-1.88085778500526	-0.691607139728258	-2.03987517466629	-4.2609203523674	0.322787604625098	-2.61590745126957	-3.69349500057659	0.655339367709991	-3.30086346308622
Stab2	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	2.47192068915831	4.14800711892162	9.88599645876147	8.2790666147652	10.1136933255466
Sys1	5.8602408375129	5.99871170839811	5.7000311693881	5.41957659656753	5.24157320777949	4.27763494282732	5.95551106125538	6.8613296391866	4.84546870551841
Tars2	5.36988283677793	6.51476778411699	6.57507791106227	5.49032234377391	5.65526135366999	6.71782703536869	6.62792916213195	5.28095660293481	6.45572633236389
Tcrg-C1	-4.32376448301787	-1.73148622745738	2.81874991785768	6.07844572666078	7.11627328582558	8.2757993911173	9.72742130108175	9.56276925445586	9.35680286511557
Tcrg-C4	-4.32376448301787	-4.4875346150548	-4.83974850410395	5.0529321788987	4.85380841161763	6.90594370316514	9.15211036892983	8.72109836192163	9.43329344902062
Tmem2	3.75740515104622	4.06321435026134	2.70268524750481	4.65846996576371	4.1586755912465	4.70981028488199	2.86708383678592	2.80906387843583	1.72578996419727
Tmem55b	5.85745146341266	6.48252919731095	6.36172449412148	6.93308270823253	5.95589571880507	5.76180514148271	4.21663925692344	6.37440768530113	5.58889733055817
Tnfsf12	-4.32376448301787	-3.84516131355206	-4.83974850410395	-1.92313767343457	-2.70234221812999	-2.61590745126957	0.4213159482667	4.05021455115912	0.399467788455165
Tox2	-4.32376448301787	-4.4875346150548	-4.83974850410395	6.22823085908009	7.3404678764036	8.38404387110304	9.17007505264906	9.66156113601813	9.41904780127994
Trbc1	-3.14885169791929	-4.4875346150548	-4.58175649356091	6.33397883519288	7.5326600807662	8.71297712528827	9.10566941922203	9.70583250104953	9.22883337632741
Trbj1-1	-4.32376448301787	-4.4875346150548	-4.83974850410395	2.85084483942614	4.88238144479168	6.36727644680562	6.71570670582596	6.90372455067943	6.72221177464407
Trbj1-7	-4.32376448301787	-4.4875346150548	-4.83974850410395	-1.98182620238444	-2.24565954922645	2.3373155849848	2.46028923191688	3.95802607991493	2.28946978708003
Trib2	-4.32376448301787	2.79022408064907	-4.83974850410395	-4.2609203523674	-4.3444218719464	5.22049193581858	6.31940703935263	6.73293772664053	6.97960496221313
Trim28	8.6613407615323	8.67076402787601	8.67992852963622	8.59408357224141	8.39825894855861	8.13006301715215	7.74967760896277	8.1151816732814	7.5930429525453
Tuba8	-4.32376448301787	-1.62514064516712	0.584657599518119	5.92637219952996	6.7197532620751	6.94686739422989	6.47073663412695	6.13520142172793	5.44484713353863
Txk	-4.32376448301787	-4.4875346150548	-4.83974850410395	2.13893936057926	2.20582099926479	6.91593420102889	6.63539023458231	7.63124420171676	7.44035033213571
Ubxn1	6.41010307156199	6.73152480658233	6.67728414910532	6.46862722612081	6.52670719294876	6.27102375709437	6.86229587512317	6.54184430591306	6.46588107797347
Vps11	6.36009934724935	6.6440233455254	6.28316414688733	5.81479592823471	7.3272264725279	5.73763108129833	6.46115844239928	7.6346053112878	7.34004118947882
Xpot	7.18521412851937	7.36750683419866	7.68561363526008	7.12485575728219	7.94035309025045	7.47515055645871	7.23156853815346	7.54456860845642	7.79195655572603
Xrn1	6.0889025255103	5.39574405247444	5.60040045000149	5.13364938884953	4.93491857263846	5.95240255444914	5.58437697451414	0.655339367709991	3.0242480762304
Zbtb16	-4.32376448301787	-4.4875346150548	-4.3371305089865	6.30957539698992	6.74043114314152	7.2565017894673	6.63675776995811	7.07837214055798	7.33610330790984
Zfp36	5.56098933537502	5.17239003344832	3.72190688548982	4.80405627383755	4.93933083176003	3.17901669135065	4.8842138501868	5.10533747166688	4.50605533617397
Zmym3	6.43806456554864	5.8993904074922	5.94816647148716	5.65269171656347	6.49046591076504	6.26330320613625	4.45546003315954	4.62510727267346	5.22445475138658
